UF,ano,mes,temp_media_c,n_dias
AC,2025,1,25.877136573104316,186
AC,2025,2,25.415924226739445,168
AC,2025,3,25.593131084533724,188
AC,2025,4,25.6036170474085,236
AC,2025,5,25.294825268817206,248
AC,2025,6,24.13597222222222,240
AC,2025,7,23.541435834502103,248
AC,2025,8,25.310853494623657,248
AC,2025,9,25.95121527777778,240
AC,2025,10,25.76251293995859,248
AC,2025,11,25.802762275661255,240
AC,2025,12,25.327735183885252,93
AL,2025,1,28.530340267321243,360
AL,2025,2,27.660007901997353,328
AL,2025,3,28.416136363636365,364
AL,2025,4,28.08002371541502,300
AL,2025,5,25.654367883216437,252
AL,2025,6,24.09440435905466,244
AL,2025,7,23.576035584629057,308
AL,2025,8,24.05165931963387,290
AL,2025,9,24.08517132505176,300
AL,2025,10,25.44807386629266,310
AL,2025,11,27.11446866177301,300
AL,2025,12,27.646512201761148,155
AM,2025,1,26.553585306586527,800
AM,2025,2,26.20503284761644,728
AM,2025,3,26.51335828427921,816
AM,2025,4,26.73300638755167,828
AM,2025,5,26.741522809966778,768
AM,2025,6,26.455271068281593,662
AM,2025,7,26.651120870566974,556
AM,2025,8,27.89683948728362,558
AM,2025,9,27.905601918422285,494
AM,2025,10,27.148142489815,434
AM,2025,11,27.239344901540264,446
AM,2025,12,26.792688199860294,239
AP,2025,1,25.72889572442518,186
AP,2025,2,25.454145100069013,168
AP,2025,3,25.47739403147888,186
AP,2025,4,25.855368357487922,180
AP,2025,5,26.015225183107372,186
AP,2025,6,25.97625,180
AP,2025,7,26.304166666666667,186
AP,2025,8,26.91809646252143,186
AP,2025,9,27.73040257648953,180
AP,2025,10,27.815047919588594,186
AP,2025,11,27.435009384737644,180
AP,2025,12,26.512988561860844,80
BA,2025,1,26.231807053351837,1750
BA,2025,2,26.20404608381948,1572
BA,2025,3,26.728999909798382,1720
BA,2025,4,26.59884019986928,1620
BA,2025,5,24.12288671015583,1680
BA,2025,6,23.22481560126188,1614
BA,2025,7,22.370014335289575,1586
BA,2025,8,23.275714453184793,1562
BA,2025,9,24.53995088004369,1358
BA,2025,10,25.64841783743404,1302
BA,2025,11,26.28384305611137,1245
BA,2025,12,26.101516393568176,622
CE,2025,1,29.115261230884524,484
CE,2025,2,28.599777282936227,338
CE,2025,3,27.286407974850743,294
CE,2025,4,27.724293626646432,288
CE,2025,5,27.752252048626378,292
CE,2025,6,27.729879890987963,278
CE,2025,7,28.65388747793202,286
CE,2025,8,28.48887542207633,244
CE,2025,9,30.10134171788338,190
CE,2025,10,29.237386864849626,152
CE,2025,11,28.44166666666667,80
CE,2025,12,28.8712712410641,53
DF,2025,1,22.07621785881253,310
DF,2025,2,22.913914337474118,280
DF,2025,3,23.12831770263397,310
DF,2025,4,22.406771739130434,300
DF,2025,5,20.342314165497896,310
DF,2025,6,19.843793478260867,300
DF,2025,7,19.686589634068596,310
DF,2025,8,21.600426601215524,310
DF,2025,9,23.662007936507937,300
DF,2025,10,23.766072385850084,310
DF,2025,11,23.128055555555555,300
DF,2025,12,22.021951345755692,155
ES,2025,1,25.318469422646714,682
ES,2025,2,26.221670052138712,616
ES,2025,3,25.281298803410877,682
